,Player Name,Player Age,Value,Team,Nationality,Position
6252,Ivan Ponomarenko,24,€150k, Vorskla Poltava ,Ukraine,Goalkeeper
6253,Oleksandr Domolega,19,€50k, Vorskla Poltava ,Ukraine,Goalkeeper
6254,Sergiy Yavorskyi,33,€300k, Vorskla Poltava ,Ukraine,Centre-Back
6255,Volodymyr Chesnakov,35,€250k, Vorskla Poltava ,Ukraine,Centre-Back
6256,Yevgen Pavlyuk,20,€200k, Vorskla Poltava ,Ukraine,Centre-Back
6257,Lucas Ramires,20,€100k, Vorskla Poltava ,Brazil,Centre-Back
6258,Daniil Khrypchuk,19,€100k, Vorskla Poltava ,Ukraine,Centre-Back
6259,Gabriel Nazário,21,€50k, Vorskla Poltava ,Brazil,Centre-Back
6260,Vasyl Kravets,25,€1.00m, Vorskla Poltava ,Ukraine,Left-Back
6261,Andriy Batsula,31,€600k, Vorskla Poltava ,Ukraine,Left-Back
6262,Igor Perduta,32,€400k, Vorskla Poltava ,Ukraine,Right-Back
6263,Felipe Rodrigues,27,€400k, Vorskla Poltava ,Brazil,Right-Back
6264,Ilya Krupskyi,18,€50k, Vorskla Poltava ,Ukraine,Right-Back
6265,Daniil Semilet,22,€10k, Vorskla Poltava ,Ukraine,Right-Back
6266,Artem Chelyadin,23,€700k, Vorskla Poltava ,Ukraine,Defensive Midfield
6267,Oleksandr Sklyar,32,€500k, Vorskla Poltava ,Ukraine,Central Midfield
6268,Andriy Kravchuk,24,€300k, Vorskla Poltava ,Ukraine,Central Midfield
6269,Artem Kulakovskyi,21,€100k, Vorskla Poltava ,Ukraine,Central Midfield
6270,Ibrahim Kane,22,€800k, Vorskla Poltava ,Mali,Left Midfield
6271,Vladlen Yurchenko,29,€1.20m, Vorskla Poltava ,Ukraine,Attacking Midfield
6272,Ivan Nesterenko,19,€50k, Vorskla Poltava ,Ukraine,Attacking Midfield
6273,Ricardo Lopes,32,€600k, Vorskla Poltava ,Brazil,Left Winger
6274,Denys Oliynyk,35,€200k, Vorskla Poltava ,Ukraine,Left Winger
6275,Ruslan Stepanyuk,31,€800k, Vorskla Poltava ,Ukraine,Centre-Forward
6276,Taulant Seferi,26,€700k, Vorskla Poltava ,Albania,Centre-Forward
6277,Marlyson,25,€500k, Vorskla Poltava ,Brazil,Centre-Forward
6278,Rodel Richards,22,€50k, Vorskla Poltava ,England,Centre-Forward
6279,Mykyta Shevchenko,30,€800k, FK Oleksandriya ,Ukraine,Goalkeeper
6280,Valentyn Gorokh,22,€100k, FK Oleksandriya ,Ukraine,Goalkeeper
6281,Georgiy Yermakov,21,€50k, FK Oleksandriya ,Ukraine,Goalkeeper
6282,Vladyslav Baboglo,24,€700k, FK Oleksandriya ,Moldova,Centre-Back
6283,Valeriy Bondarenko,29,€500k, FK Oleksandriya ,Ukraine,Centre-Back
6284,Sergiy Loginov,32,€400k, FK Oleksandriya ,Ukraine,Centre-Back
6285,Andriy Tsurikov,30,€600k, FK Oleksandriya ,Ukraine,Left-Back
6286,Oleksandr Martynyuk,21,€100k, FK Oleksandriya ,Ukraine,Left-Back
6287,Denys Miroshnichenko,28,€600k, FK Oleksandriya ,Ukraine,Right-Back
6288,Danil Skorko,21,€150k, FK Oleksandriya ,Ukraine,Right-Back
6289,Mykola Mykhaylenko,21,€400k, FK Oleksandriya ,Ukraine,Defensive Midfield
6290,Sergiy Rybalka,33,€300k, FK Oleksandriya ,Ukraine,Defensive Midfield
6291,Bogdan Biloshevskyi,23,€250k, FK Oleksandriya ,Ukraine,Defensive Midfield
6292,Yuriy Kopyna,26,€250k, FK Oleksandriya ,Ukraine,Defensive Midfield
6293,Ivan Matyushenko,19,€100k, FK Oleksandriya ,Ukraine,Central Midfield
6294,Kyrylo Sigeev,18,€50k, FK Oleksandriya ,Ukraine,Central Midfield
6295,Vladyslav Kalitvintsev,30,€1.00m, FK Oleksandriya ,Ukraine,Right Midfield
6296,Kyrylo Kovalets,29,€600k, FK Oleksandriya ,Ukraine,Attacking Midfield
6297,Vikentiy Voloshyn,21,€300k, FK Oleksandriya ,Ukraine,Attacking Midfield
6298,Emil Mustafaev,21,€150k, FK Oleksandriya ,Azerbaijan,Attacking Midfield
6299,Maksym Tretyakov,27,€800k, FK Oleksandriya ,Ukraine,Left Winger
6300,Artem Shulyanskyi,22,€100k, FK Oleksandriya ,Ukraine,Left Winger
6301,Andriy Kulakov,23,€400k, FK Oleksandriya ,Ukraine,Centre-Forward
6302,Oleg Kozhushko,25,€400k, FK Oleksandriya ,Ukraine,Centre-Forward
6303,Bogdan Kobzar,20,€300k, FK Oleksandriya ,Ukraine,Centre-Forward
6304,Yegor Gunichev,19,€75k, FK Oleksandriya ,Ukraine,Centre-Forward
6305,Yevgen Volynets,29,€700k, Kolos Kovalivka ,Ukraine,Goalkeeper
6306,Volodymyr Makhankov,25,€200k, Kolos Kovalivka ,Ukraine,Goalkeeper
6307,Kiril Fesyun,20,€200k, Kolos Kovalivka ,Ukraine,Goalkeeper
6308,Sergiy Chobotenko,26,€600k, Kolos Kovalivka ,Ukraine,Centre-Back
6309,Roman Goncharenko,29,€400k, Kolos Kovalivka ,Ukraine,Centre-Back
6310,Yevgen Novak,34,€200k, Kolos Kovalivka ,Ukraine,Centre-Back
6311,Oleksandr Chornomorets,30,€500k, Kolos Kovalivka ,Ukraine,Left-Back
6312,Nikolay Zolotov,28,€400k, Kolos Kovalivka ,Belarus,Left-Back
6313,Vladyslav Yemets,25,€200k, Kolos Kovalivka ,Ukraine,Left-Back
6314,Mykyta Kravchenko,25,€700k, Kolos Kovalivka ,Ukraine,Right-Back
6315,Oleksiy Zozulya,30,€300k, Kolos Kovalivka ,Ukraine,Right-Back
6316,Pavlo Orikhovskyi,26,€500k, Kolos Kovalivka ,Ukraine,Central Midfield
6317,Yevgeniy Smyrnyi,24,€400k, Kolos Kovalivka ,Ukraine,Central Midfield
6318,Andriy Bogdanov,33,€300k, Kolos Kovalivka ,Ukraine,Central Midfield
6319,Vadym Milko,36,€100k, Kolos Kovalivka ,Ukraine,Central Midfield
6320,Oleg Ilyin,25,€400k, Kolos Kovalivka ,Ukraine,Right Midfield
6321,Sergiy Myakushko,29,€300k, Kolos Kovalivka ,Ukraine,Left Winger
6322,Sergiy Bolbat,29,€1.00m, Kolos Kovalivka ,Ukraine,Right Winger
6323,Vladyslav Veleten,20,€100k, Kolos Kovalivka ,Ukraine,Right Winger
6324,Denys Bezborodko,28,€500k, Kolos Kovalivka ,Ukraine,Centre-Forward
6325,Yevgeniy Isaenko,22,€300k, Kolos Kovalivka ,Ukraine,Centre-Forward
6326,Kiril Popov,19,€300k, Kolos Kovalivka ,Ukraine,Centre-Forward
6327,Volodymyr Lysenko,34,€200k, Kolos Kovalivka ,Ukraine,Centre-Forward
6328,Dmitriy Nepogodov,35,€300k, Chornomorets Odessa ,Kazakhstan,Goalkeeper
6329,Danylo Varakuta,21,€100k, Chornomorets Odessa ,Ukraine,Goalkeeper
6330,Yevgen Past,35,€100k, Chornomorets Odessa ,Ukraine,Goalkeeper
6331,Vitaliy Yermakov,30,€400k, Chornomorets Odessa ,Ukraine,Centre-Back
6332,Luka Gucek,24,€200k, Chornomorets Odessa ,Slovenia,Centre-Back
6333,Maksym Bilyi,32,€200k, Chornomorets Odessa ,Ukraine,Centre-Back
6334,Volodymyr Salyuk,20,€200k, Chornomorets Odessa ,Ukraine,Centre-Back
6335,Maksym Voytikhovskyi,24,€150k, Chornomorets Odessa ,Ukraine,Centre-Back
6336,Yevgen Selin,34,€200k, Chornomorets Odessa ,Ukraine,Left-Back
6337,Ilya Putrya,24,€400k, Chornomorets Odessa ,Ukraine,Right-Back
6338,Oleksandr Demchenko,27,€500k, Chornomorets Odessa ,Ukraine,Defensive Midfield
6339,Oleksandr Vasyliev,28,€400k, Chornomorets Odessa ,Ukraine,Defensive Midfield
6340,Yevgen Zadoya,32,€200k, Chornomorets Odessa ,Ukraine,Defensive Midfield
6341,Sergiy Politylo,34,€250k, Chornomorets Odessa ,Ukraine,Central Midfield
6342,Inal Chertkoev,23,€50k, Chornomorets Odessa ,Ukraine,Right Midfield
6343,Rodion Plaksa,21,€300k, Chornomorets Odessa ,Ukraine,Attacking Midfield
6344,Guy Hadida,27,€250k, Chornomorets Odessa ,Israel,Attacking Midfield
6345,Danyil Alefirenko,22,€400k, Chornomorets Odessa ,Ukraine,Left Winger
6346,Artur Avagimyan,26,€400k, Chornomorets Odessa ,Ukraine,Left Winger
6347,Orest Kuzyk,27,€300k, Chornomorets Odessa ,Ukraine,Left Winger
6348,Maksym Bragaru,20,€400k, Chornomorets Odessa ,Ukraine,Right Winger
6349,Ziguy Badibanga,31,€200k, Chornomorets Odessa ,Belgium,Right Winger
6350,Dmytro Yusov,29,€400k, Chornomorets Odessa ,Ukraine,Centre-Forward
6351,Oleksandr Gladkyi,35,€300k, Chornomorets Odessa ,Ukraine,Centre-Forward
6352,Andriy Shtogrin,24,€100k, Chornomorets Odessa ,Ukraine,Centre-Forward
6353,Bogdan Sarnavskyi,28,€300k, Kryvbas Kryvyi Rig ,Ukraine,Goalkeeper
6354,Andriy Klishchuk,30,€100k, Kryvbas Kryvyi Rig ,Ukraine,Goalkeeper
6355,Bogdan Khoma,20,€50k, Kryvbas Kryvyi Rig ,Ukraine,Goalkeeper
6356,Danylo Beskorovaynyi,24,€350k, Kryvbas Kryvyi Rig ,Ukraine,Centre-Back
6357,Dmytro Semenov,23,€300k, Kryvbas Kryvyi Rig ,Ukraine,Centre-Back
6358,Vitaliy Vernydub,35,€200k, Kryvbas Kryvyi Rig ,Ukraine,Centre-Back
6359,Volodymyr Yakimets,25,€500k, Kryvbas Kryvyi Rig ,Ukraine,Left-Back
6360,Tymur Stetskov,25,€300k, Kryvbas Kryvyi Rig ,Ukraine,Left-Back
6361,Yvan Dibango,21,€300k, Kryvbas Kryvyi Rig ,Cameroon,Left-Back
6362,Yevgen Opanasenko,32,€150k, Kryvbas Kryvyi Rig ,Ukraine,Right-Back
6363,Vyacheslav Ryabov,33,€100k, Kryvbas Kryvyi Rig ,Ukraine,Defensive Midfield
6364,Klim Prykhodko,23,€100k, Kryvbas Kryvyi Rig ,Ukraine,Defensive Midfield
6365,Yevgen Banada,31,€400k, Kryvbas Kryvyi Rig ,Ukraine,Central Midfield
6366,Rifet Kapic,27,€300k, Kryvbas Kryvyi Rig ,Bosnia-Herzegovina,Central Midfield
6367,Vladyslav Semotyuk,22,€100k, Kryvbas Kryvyi Rig ,Ukraine,Central Midfield
6368,Tymur Korablin,21,€150k, Kryvbas Kryvyi Rig ,Ukraine,Right Midfield
6369,Denys Shevchenko,20,€100k, Kryvbas Kryvyi Rig ,Ukraine,Right Midfield
6370,Dmytro Khomchenovskyi,32,€300k, Kryvbas Kryvyi Rig ,Ukraine,Left Midfield
6371,Mykyta Tatarkov,28,€300k, Kryvbas Kryvyi Rig ,Ukraine,Left Midfield
6372,Maksym Lunyov,24,€300k, Kryvbas Kryvyi Rig ,Ukraine,Left Winger
6373,Artur Mykytyshyn,19,€200k, Kryvbas Kryvyi Rig ,Ukraine,Left Winger
6374,Andriy Ponedelnik,26,€200k, Kryvbas Kryvyi Rig ,Ukraine,Right Winger
6375,Jean-Morel Poé,26,€200k, Kryvbas Kryvyi Rig ,Cote d'Ivoire,Right Winger
6376,Maksym Zaderaka,28,€200k, Kryvbas Kryvyi Rig ,Ukraine,Right Winger
6377,Daniel Sosah,24,€400k, Kryvbas Kryvyi Rig ,Niger,Centre-Forward
6378,Roman Debelko,29,€300k, Kryvbas Kryvyi Rig ,Ukraine,Centre-Forward
6379,Denys Ustymenko,24,€200k, Kryvbas Kryvyi Rig ,Ukraine,Centre-Forward
6380,Oleg Bilyk,25,€600k, Ingulets Petrove ,Ukraine,Goalkeeper
6381,Oleksiy Palamarchuk,31,€150k, Ingulets Petrove ,Ukraine,Goalkeeper
6382,Roman Pidkivka,27,€100k, Ingulets Petrove ,Ukraine,Goalkeeper
6383,Kyrylo Arkhypchuk,19,€50k, Ingulets Petrove ,Ukraine,Goalkeeper
6384,Dmytro Pospelov,31,€250k, Ingulets Petrove ,Ukraine,Centre-Back
6385,Vitaliy Pavlov,34,€150k, Ingulets Petrove ,Ukraine,Centre-Back
6386,Maksym Kovalyov,34,€150k, Ingulets Petrove ,Ukraine,Centre-Back
6387,Sergiy Chenbay,30,€300k, Ingulets Petrove ,Ukraine,Left-Back
6388,Artem Smolyakov,19,€200k, Ingulets Petrove ,Ukraine,Left-Back
6389,Maksym Melnychuk,23,€200k, Ingulets Petrove ,Ukraine,Left-Back
6390,Dmitri Nagiyev,27,€300k, Ingulets Petrove ,Azerbaijan,Right-Back
6391,Vladyslav Sydorenko,25,€150k, Ingulets Petrove ,Ukraine,Right-Back
6392,Oleksandr Kucherenko,31,€250k, Ingulets Petrove ,Ukraine,Defensive Midfield
6393,Yevgen Zaporozhets,28,€400k, Ingulets Petrove ,Ukraine,Central Midfield
6394,Vladyslav Klymenko,28,€300k, Ingulets Petrove ,Ukraine,Central Midfield
6395,Andriy Kukharuk,27,€300k, Ingulets Petrove ,Ukraine,Central Midfield
6396,Andriy Korobenko,25,€200k, Ingulets Petrove ,Ukraine,Central Midfield
6397,Oleg Osypenko,21,€50k, Ingulets Petrove ,Ukraine,Left Midfield
6398,Yuriy Kozyrenko,23,€300k, Ingulets Petrove ,Ukraine,Attacking Midfield
6399,Dmitri Mandricenco,25,€250k, Ingulets Petrove ,Moldova,Attacking Midfield
6400,Denys Rezepov,21,€50k, Ingulets Petrove ,Ukraine,Attacking Midfield
6401,Oleksandr Kozak,28,€200k, Ingulets Petrove ,Ukraine,Left Winger
6402,Viktor Bliznichenko,20,€200k, Ingulets Petrove ,Ukraine,Left Winger
6403,Volodymyr Odaryuk,29,€300k, Ingulets Petrove ,Ukraine,Right Winger
6404,Danylo Kravchuk,21,€250k, Ingulets Petrove ,Ukraine,Right Winger
6405,Ivan Golovkin,22,€100k, Ingulets Petrove ,Ukraine,Right Winger
6406,Maksym Marusych,29,€200k, Ingulets Petrove ,Ukraine,Centre-Forward
6407,Artem Sitalo,33,€150k, Ingulets Petrove ,Ukraine,Centre-Forward
6408,Oleg Mozil,27,€400k, Metalist 1925 Kharkiv ,Ukraine,Goalkeeper
6409,Denys Sydorenko,33,€150k, Metalist 1925 Kharkiv ,Ukraine,Goalkeeper
6410,Igor Potimkov,19,€50k, Metalist 1925 Kharkiv ,Ukraine,Goalkeeper
6411,Igor Kurylo,29,€400k, Metalist 1925 Kharkiv ,Ukraine,Centre-Back
6412,Mykhaylo Shershen,27,€400k, Metalist 1925 Kharkiv ,Ukraine,Centre-Back
6413,Mykyta Bezuglyi,27,€400k, Metalist 1925 Kharkiv ,Ukraine,Centre-Back
6414,Yevgeniy Tkachuk,31,€200k, Metalist 1925 Kharkiv ,Ukraine,Centre-Back
6415,Yuriy Potimkov,20,€50k, Metalist 1925 Kharkiv ,Ukraine,Centre-Back
6416,Mykhaylo Rudavskyi,21,€200k, Metalist 1925 Kharkiv ,Ukraine,Left-Back
6417,Ivan Kovalenko,24,€50k, Metalist 1925 Kharkiv ,Ukraine,Left-Back
6418,Dmytro Kapinus,19,€300k, Metalist 1925 Kharkiv ,Ukraine,Right-Back
6419,Maksym Zhychykov,30,€300k, Metalist 1925 Kharkiv ,Ukraine,Right-Back
6420,Dmytro Kravchenko,28,€400k, Metalist 1925 Kharkiv ,Ukraine,Defensive Midfield
6421,Andriy Tkachuk,35,€75k, Metalist 1925 Kharkiv ,Ukraine,Defensive Midfield
6422,Artem Gabelok,28,€500k, Metalist 1925 Kharkiv ,Ukraine,Central Midfield
6423,Beka Vachiberadze,27,€250k, Metalist 1925 Kharkiv ,Georgia,Central Midfield
6424,Yaroslav Martynyuk,34,€250k, Metalist 1925 Kharkiv ,Ukraine,Central Midfield
6425,Rostyslav Rusyn,27,€400k, Metalist 1925 Kharkiv ,Ukraine,Attacking Midfield
6426,Andriy Remenyuk,24,€600k, Metalist 1925 Kharkiv ,Ukraine,Left Winger
6427,Kostyantyn Bychek,22,€200k, Metalist 1925 Kharkiv ,Ukraine,Left Winger
6428,Vladyslav Dmytrenko,22,€200k, Metalist 1925 Kharkiv ,Ukraine,Left Winger
6429,Abdulla Abdullaev,21,€50k, Metalist 1925 Kharkiv ,Ukraine,Left Winger
6430,Igor Henrique,19,€50k, Metalist 1925 Kharkiv ,Brazil,Left Winger
6431,Vadym Sologub,19,€10k, Metalist 1925 Kharkiv ,Ukraine,Right Winger
6432,Vitaliy Ponomar,32,€100k, Metalist 1925 Kharkiv ,Ukraine,Centre-Forward
6433,Andriy Chyruk,22,€100k, Metalist 1925 Kharkiv ,Ukraine,Centre-Forward
6434,Yuriy Pankiv,38,€200k, Rukh Lviv ,Ukraine,Goalkeeper
6435,Dmytro Ledviy,19,€100k, Rukh Lviv ,Ukraine,Goalkeeper
6436,Yuriy-Volodymyr Gereta,19,€50k, Rukh Lviv ,Ukraine,Goalkeeper
6437,Roman Didyk,20,€400k, Rukh Lviv ,Ukraine,Centre-Back
6438,Denys Slyusar,20,€300k, Rukh Lviv ,Ukraine,Centre-Back
6439,Bogdan Slyubyk,19,€200k, Rukh Lviv ,Ukraine,Centre-Back
6440,Oleg Veremiyenko,24,€100k, Rukh Lviv ,Ukraine,Centre-Back
6441,Vitaliy Kholod,19,€50k, Rukh Lviv ,Ukraine,Centre-Back
6442,Rostyslav Lyakh,22,€400k, Rukh Lviv ,Ukraine,Left-Back
6443,Jefferson Vinicius,22,€50k, Rukh Lviv ,Brazil,Left-Back
6444,Vitaliy Roman,20,€300k, Rukh Lviv ,Ukraine,Right-Back
6445,Andriy Kitela,18,€100k, Rukh Lviv ,Ukraine,Right-Back
6446,Edson Fernando,24,€500k, Rukh Lviv ,Brazil,Defensive Midfield
6447,Marko Sapuga,19,€300k, Rukh Lviv ,Ukraine,Defensive Midfield
6448,Oleksiy Dovgyi,33,€200k, Rukh Lviv ,Ukraine,Defensive Midfield
6449,Denys Pidgurskyi,19,€100k, Rukh Lviv ,Ukraine,Defensive Midfield
6450,Talles,24,€600k, Rukh Lviv ,Brazil,Attacking Midfield
6451,Maryan Mysyk,26,€250k, Rukh Lviv ,Ukraine,Attacking Midfield
6452,Ostap Prytula,22,€200k, Rukh Lviv ,Ukraine,Attacking Midfield
6453,Yuriy Klymchuk,25,€500k, Rukh Lviv ,Ukraine,Left Winger
6454,Vasyl Runich,23,€200k, Rukh Lviv ,Ukraine,Left Winger
6455,Ruslan Nepeypiev,19,€100k, Rukh Lviv ,Ukraine,Left Winger
6456,Viv Solomon-Otabor,27,€300k, Rukh Lviv ,Nigeria,Right Winger
6457,Fabricio Alvarenga,27,€200k, Rukh Lviv ,Argentina,Right Winger
6458,Bright Enobakhare,25,€200k, Rukh Lviv ,Nigeria,Centre-Forward
6459,Yaroslav Karabin,20,€100k, Rukh Lviv ,Ukraine,Centre-Forward
6460,Bogdan Kogut,35,€300k, NK Veres Rivne ,Ukraine,Goalkeeper
6461,Vadym Yushchyshyn,23,€50k, NK Veres Rivne ,Ukraine,Goalkeeper
6462,Arseniy Korkodym,20,€50k, NK Veres Rivne ,Ukraine,Goalkeeper
6463,Semen Vovchenko,23,€400k, NK Veres Rivne ,Ukraine,Centre-Back
6464,Vasyl Kurko,27,€200k, NK Veres Rivne ,Ukraine,Centre-Back
6465,Oleksandr Matkobozhyk,25,€100k, NK Veres Rivne ,Ukraine,Centre-Back
6466,Danyil Khondak,21,€50k, NK Veres Rivne ,Ukraine,Centre-Back
6467,Mykola Kvasnyi,28,€300k, NK Veres Rivne ,Ukraine,Left-Back
6468,Roman Gagun,29,€500k, NK Veres Rivne ,Ukraine,Right-Back
6469,Denys Balan,29,€300k, NK Veres Rivne ,Ukraine,Right-Back
6470,Valeriy Kucherov,29,€500k, NK Veres Rivne ,Ukraine,Defensive Midfield
6471,Dmytro Klyots,26,€500k, NK Veres Rivne ,Ukraine,Central Midfield
6472,Oleksandr Lebedenko,33,€200k, NK Veres Rivne ,Ukraine,Central Midfield
6473,Stanislav Sharay,25,€200k, NK Veres Rivne ,Ukraine,Central Midfield
6474,Vladyslav Tyshyninov,23,€50k, NK Veres Rivne ,Ukraine,Central Midfield
6475,Vitaliy Dakhnovskyi,24,€500k, NK Veres Rivne ,Ukraine,Right Midfield
6476,Gennadiy Pasich,29,€400k, NK Veres Rivne ,Ukraine,Left Midfield
6477,Vladyslav Sharay,25,€300k, NK Veres Rivne ,Ukraine,Left Winger
6478,Andriy Bliznichenko,28,€250k, NK Veres Rivne ,Ukraine,Right Winger
6479,Mykola Gayduchyk,23,€300k, NK Veres Rivne ,Ukraine,Centre-Forward
6480,Mykhaylo Shestakov,33,€200k, NK Veres Rivne ,Ukraine,Centre-Forward
6481,Dmytro Povoroznyuk,35, , NK Veres Rivne ,Ukraine,Centre-Forward
6482,Orest Kostyk,23,€300k, Metalist Kharkiv ,Ukraine,Goalkeeper
6483,Daniil Yermolov,22,€100k, Metalist Kharkiv ,Ukraine,Goalkeeper
6484,Myroslav Znovenko,21,€50k, Metalist Kharkiv ,Ukraine,Goalkeeper
6485,Oleksandr Myzyuk,27,€400k, Metalist Kharkiv ,Ukraine,Centre-Back
6486,Bogdan Porokh,22,€200k, Metalist Kharkiv ,Ukraine,Centre-Back
6487,Pathy Malumandsoko,22,€150k, Metalist Kharkiv ,France,Centre-Back
6488,Oleksandr Nikolyshyn,18,€25k, Metalist Kharkiv ,Ukraine,Centre-Back
6489,Yegor Klymenchuk,25,€200k, Metalist Kharkiv ,Ukraine,Left-Back
6490,Roberto Corral,25,€200k, Metalist Kharkiv ,Spain,Left-Back
6491,Volodymyr Shopin,31,€100k, Metalist Kharkiv ,Ukraine,Left-Back
6492,Anderson Pico,34,€50k, Metalist Kharkiv ,Brazil,Left-Back
6493,Yuriy Romanyuk,25,€400k, Metalist Kharkiv ,Ukraine,Right-Back
6494,Samuel,23,€100k, Metalist Kharkiv ,Brazil,Right-Back
6495,Andriy Ralyuchenko,27,€300k, Metalist Kharkiv ,Ukraine,Defensive Midfield
6496,Igor Chaykovskyi,31,€200k, Metalist Kharkiv ,Ukraine,Defensive Midfield
6497,Sergiy Panasenko,31,€300k, Metalist Kharkiv ,Ukraine,Central Midfield
6498,Yegor Demchenko,25,€200k, Metalist Kharkiv ,Ukraine,Central Midfield
6499,Yegor Kartushov,32,€400k, Metalist Kharkiv ,Ukraine,Left Midfield
6500,Vladyslav Naumets,24,€400k, Metalist Kharkiv ,Ukraine,Attacking Midfield
6501,Maksym Bagachanskyi,20,€100k, Metalist Kharkiv ,Ukraine,Attacking Midfield
6502,Dmytro Korkishko,32,€200k, Metalist Kharkiv ,Ukraine,Left Winger
6503,Bogdan Boychuk,26,€300k, Metalist Kharkiv ,Ukraine,Right Winger
6504,Yevgeniy Ryazantsev,21,€100k, Metalist Kharkiv ,Ukraine,Right Winger
6505,Dmytro Shamych,21,€50k, Metalist Kharkiv ,Ukraine,Right Winger
6506,Maksym Pryadun,26,€600k, Metalist Kharkiv ,Ukraine,Centre-Forward
6507,Aleks Chidomere,20,€100k, Metalist Kharkiv ,Ukraine,Centre-Forward
6508,Valeriy Yurchuk,33,€300k, PFK Lviv ,Ukraine,Goalkeeper
6509,Oleksandr Rybka,36,€150k, PFK Lviv ,Ukraine,Goalkeeper
6510,Ilya Olkhovyi,19,€50k, PFK Lviv ,Ukraine,Goalkeeper
6511,Artem Vovkun,21,€200k, PFK Lviv ,Ukraine,Centre-Back
6512,Roman Nykytyuk,29,€200k, PFK Lviv ,Ukraine,Centre-Back
6513,Guilherme,21,€200k, PFK Lviv ,Brazil,Centre-Back
6514,Maksym Sasovskyi,21,€100k, PFK Lviv ,Ukraine,Centre-Back
6515,Higor Gabriel,23,€100k, PFK Lviv ,Brazil,Centre-Back
6516,Sergiy Siminin,35,€50k, PFK Lviv ,Ukraine,Centre-Back
6517,Oleksiy Dytyatyev,34,€50k, PFK Lviv ,Ukraine,Centre-Back
6518,Denys Kuzyk,20,€250k, PFK Lviv ,Ukraine,Left-Back
6519,Oula Traoré,27,€200k, PFK Lviv ,Burkina Faso,Left-Back
6520,Andriy Busko,25,€300k, PFK Lviv ,Ukraine,Right-Back
6521,Akhmed Alibekov,24,€200k, PFK Lviv ,Ukraine,Defensive Midfield
6522,Murilo Souza,26,€100k, PFK Lviv ,Brazil,Defensive Midfield
6523,Artem Mylchenko,22,€400k, PFK Lviv ,Ukraine,Central Midfield
6524,Léo Antônio,25,€250k, PFK Lviv ,Brazil,Central Midfield
6525,Oleksandr Belyaev,23,€200k, PFK Lviv ,Ukraine,Central Midfield
6526,Maksym Grysyo,26,€400k, PFK Lviv ,Ukraine,Right Midfield
6527,Bogdan Myshenko,28,€250k, PFK Lviv ,Ukraine,Left Midfield
6528,Roman Mykhayliv,20,€50k, PFK Lviv ,Ukraine,Left Midfield
6529,Ivijan Svrznjak,21,€100k, PFK Lviv ,Croatia,Attacking Midfield
6530,Vitaliy Mykhayliv,17,€100k, PFK Lviv ,Ukraine,Attacking Midfield
6531,Yaroslav Bogunov,29,€100k, PFK Lviv ,Ukraine,Left Winger
6532,Artur Remenyak,22,€200k, PFK Lviv ,Ukraine,Right Winger
6533,Aderinsola Habib Eseola,31,€300k, PFK Lviv ,Ukraine,Centre-Forward
6534,Vladyslav Bugay,25,€200k, PFK Lviv ,Ukraine,Centre-Forward
6535,Oleksandr Bandura,36,€200k, FK Minaj ,Ukraine,Goalkeeper
6536,German Penkov,28,€100k, FK Minaj ,Ukraine,Goalkeeper
6537,Oleksandr Kemkin,20,€50k, FK Minaj ,Ukraine,Goalkeeper
6538,Oleg Gorin,23,€400k, FK Minaj ,Ukraine,Centre-Back
6539,Oleksandr Melnyk,23,€300k, FK Minaj ,Ukraine,Centre-Back
6540,Dmytro Nemchaninov,33,€200k, FK Minaj ,Ukraine,Centre-Back
6541,Bogdan Chuev,23,€150k, FK Minaj ,Ukraine,Centre-Back
6542,Yuriy Kravchuk,29,€150k, FK Minaj ,Ukraine,Centre-Back
6543,Ivan Trubochkin,30,€200k, FK Minaj ,Ukraine,Left-Back
6544,Andriy Buleza,19,€200k, FK Minaj ,Ukraine,Left-Back
6545,Igor Gonchar,30,€300k, FK Minaj ,Ukraine,Right-Back
6546,Taras Dmytruk,23,€150k, FK Minaj ,Ukraine,Right-Back
6547,Vadym Vitenchuk,26,€300k, FK Minaj ,Ukraine,Defensive Midfield
6548,Mykhaylo Shyshka,28,€300k, FK Minaj ,Ukraine,Defensive Midfield
6549,Sergiy Petko,29,€100k, FK Minaj ,Ukraine,Defensive Midfield
6550,Nazariy Vorobchak,23,€200k, FK Minaj ,Ukraine,Right Midfield
6551,Mihail Ghecev,25,€200k, FK Minaj ,Moldova,Left Midfield
6552,Valeriy Rogozynskyi,27,€200k, FK Minaj ,Ukraine,Left Midfield
6553,Yegor Tverdokhlib,22,€300k, FK Minaj ,Ukraine,Attacking Midfield
6554,Ruslan Palamar,29,€200k, FK Minaj ,Ukraine,Attacking Midfield
6555,Anton Baydal,23,€100k, FK Minaj ,Ukraine,Left Winger
6556,Danylo Golub,19,€100k, FK Minaj ,Ukraine,Right Winger
6557,Oleg Vyshnevskyi,27,€300k, FK Minaj ,Ukraine,Centre-Forward
6558,Danylo Kolesnyk,21,€200k, FK Minaj ,Ukraine,Centre-Forward
6559,Yuriy Kolomoets,33,€100k, FK Minaj ,Ukraine,Centre-Forward
6560,David von Ballmoos,28,€2.50m, BSC Young Boys ,Switzerland,Goalkeeper
6561,Anthony Racioppi,24,€1.30m, BSC Young Boys ,Switzerland,Goalkeeper
6562,Marvin Keller,20,€500k, BSC Young Boys ,Switzerland,Goalkeeper
