,Player,Nation,Pos,Squad,Comp,Age
904,Thomas Foket,BEL,1,Reims,Ligue 1,27
905,Thomas Fontaine,MAD,1,Lorient,Ligue 1,31
906,José Fontán,ESP,1,Celta Vigo,La Liga,22
907,José Fonte,POR,1,Lille,Ligue 1,38
908,Fernando Forestieri,ITA,3,Udinese,Serie A,32
909,Pablo Fornals,ESP,3,West Ham,Premier League,26
910,Emil Forsberg,SWE,2,RB Leipzig,Bundesliga,30
911,Adam Forshaw,ENG,2,Leeds United,Premier League,30
912,Marcus Forss,FIN,3,Brentford,Premier League,22
913,Fraser Forster,ENG,4,Southampton,Premier League,34
914,Philipp Förster,GER,3,Stuttgart,Bundesliga,27
915,Francesco Forte,ITA,3,Venezia,Serie A,29
916,Steven Fortes,CPV,1,Lens,Ligue 1,30
917,Ben Foster,ENG,4,Watford,Premier League,39
918,Tariqe Fosu,GHA,1,Brentford,Premier League,26
919,Timothy Fosu-Mensah,NED,1,Leverkusen,Bundesliga,24
920,Dimitri Foulquier,FRA,1,Granada,La Liga,29
921,Dimitri Foulquier,FRA,1,Valencia,La Liga,29
922,Juan Foyth,ARG,1,Villarreal,La Liga,24
923,Gianluca Frabotta,ITA,1,Hellas Verona,Serie A,22
924,Raphael Framberger,GER,1,Augsburg,Bundesliga,26
925,Przemys?aw Frankowski,POL,1,Lens,Ligue 1,27
926,Enric Franquesa,ESP,1,Levante,La Liga,25
927,Fransérgio,BRA,2,Bordeaux,Ligue 1,31
928,Ryan Fraser,SCO,3,Newcastle Utd,Premier League,28
929,Davide Frattesi,ITA,2,Sassuolo,Serie A,22
930,Fred,BRA,2,Manchester Utd,Premier League,29
931,Ryan Fredericks,ENG,1,West Ham,Premier League,29
932,Morten Frendrup,DEN,1,Genoa,Serie A,21
933,Remo Freuler,SUI,2,Atalanta,Serie A,30
934,Marvin Friedrich,GER,1,Union Berlin,Bundesliga,26
935,Marvin Friedrich,GER,1,M'Gladbach,Bundesliga,26
936,Jeremie Frimpong,NED,1,Leverkusen,Bundesliga,21
937,Christian Früchtl,GER,4,Bayern Munich,Bundesliga,22
938,Jorge de Frutos,ESP,2,Levante,La Liga,25
939,Leo Fuhr Hjelde,NOR,1,Leeds United,Premier League,18
940,Chris Führich,GER,2,Stuttgart,Bundesliga,24
941,Angelo Fulgini,FRA,2,Angers,Ligue 1,25
942,Marius Funk,GER,4,Greuther Fürth,Bundesliga,26
943,Stephan Fürstner,GER,2,Mainz 05,Bundesliga,34
944,Matteo Gabbia,ITA,1,Milan,Serie A,22
945,Manolo Gabbiadini,ITA,3,Sampdoria,Serie A,30
946,Mijat Ga?inovi?,SRB,3,Hoffenheim,Bundesliga,27
947,Gianluca Gaetano,ITA,2,Napoli,Serie A,22
948,Luca Gagliano,ITA,2,Cagliari,Serie A,21
949,Roberto Gagliardini,ITA,2,Inter,Serie A,28
950,Riccardo Gagliolo,SWE,1,Salernitana,Serie A,32
951,Javi Galán,ESP,1,Celta Vigo,La Liga,27
952,Iñigo Ruiz de Galarreta,ESP,2,Mallorca,La Liga,28
953,Nicolas Galazzi,ITA,1,Venezia,Serie A,21
954,Pablo Galdames Millán,CHI,2,Genoa,Serie A,25
955,Thiago Galhardo,BRA,3,Celta Vigo,La Liga,32
956,Conor Gallagher,ENG,2,Crystal Palace,Premier League,22
957,Gauthier Gallon,FRA,4,Troyes,Ligue 1,29
958,Cristian Gamboa,CRC,1,Bochum,Bundesliga,32
959,Kévin Gameiro,FRA,3,Strasbourg,Ligue 1,35
960,Idrissa Gana Gueye,SEN,2,Paris S-G,Ligue 1,32
961,Ignatius Ganago,CMR,3,Lens,Ligue 1,23
962,Silvère Ganvoula M'Boussy,CGO,3,Bochum,Bundesliga,25
963,Álvaro García,ESP,3,Rayo Vallecano,La Liga,29
964,Dani García,ESP,2,Athletic Club,La Liga,32
965,David García,ESP,1,Osasuna,La Liga,28
966,Eric García,ESP,1,Barcelona,La Liga,21
967,Francisco Garcia,ESP,1,Rayo Vallecano,La Liga,22
968,Joan García,ESP,4,Espanyol,La Liga,21
969,Manu García,ESP,2,Alavés,La Liga,24
970,Raúl García,ESP,3,Athletic Club,La Liga,35
971,Rubén García,ESP,3,Osasuna,La Liga,28
972,Saúl García,ESP,3,Alavés,La Liga,27
973,Unai García,ESP,1,Osasuna,La Liga,30
974,Alejandro Garnacho,ESP,3,Manchester Utd,Premier League,17
975,Mario Gaspar,ESP,1,Villarreal,La Liga,31
976,Djeidi Gassama,FRA,3,Paris S-G,Ligue 1,18
977,Johan Gastien,FRA,2,Clermont Foot,Ligue 1,34
978,Dwight Gayle,ENG,3,Newcastle Utd,Premier League,31
979,Jean-Philippe Gbamin,CIV,2,Everton,Premier League,26
980,David de Gea,ESP,4,Manchester Utd,Premier League,31
981,Linus Gechter,GER,1,Hertha BSC,Bundesliga,18
982,Dennis Geiger,GER,2,Hoffenheim,Bundesliga,23
983,Joe Gelhardt,ENG,3,Leeds United,Premier League,20
984,Luca Gemello,ITA,4,Torino,Serie A,21
985,Yannick Gerhardt,GER,2,Wolfsburg,Bundesliga,28
986,Valère Germain,FRA,3,Montpellier,Ligue 1,32
987,Gerson,BRA,2,Marseille,Ligue 1,25
988,Willem Geubbels,FRA,3,Nantes,Ligue 1,20
989,Hamadi Al Ghaddioui,MAR,3,Stuttgart,Bundesliga,31
990,Ismaël Gharbi,TUN,3,Paris S-G,Ligue 1,18
991,Anwar El Ghazi,NED,3,Everton,Premier League,27
992,Anwar El Ghazi,NED,3,Aston Villa,Premier League,27
993,Lamine Ghezali,FRA,1,Saint-Étienne,Ligue 1,22
994,Paolo Ghiglione,ITA,1,Genoa,Serie A,25
995,Saman Ghoddos,IRN,1,Brentford,Premier League,28
996,Faouzi Ghoulam,ALG,1,Napoli,Serie A,31
997,Dimitris Giannoulis,GRE,1,Norwich City,Premier League,26
998,Morgan Gibbs-White,ENG,3,Wolves,Premier League,22
999,Ben Gibson,ENG,1,Norwich City,Premier League,29
1000,Niko Gießelmann,GER,1,Union Berlin,Bundesliga,30
1001,Rafa? Gikiewicz,POL,4,Augsburg,Bundesliga,34
1002,Óscar Gil,ESP,1,Espanyol,La Liga,25
1003,Mario Gila,ESP,1,Real Madrid,La Liga,21
1004,Billy Gilmour,SCO,2,Norwich City,Premier League,20
1005,Daniel Ginczek,GER,2,Wolfsburg,Bundesliga,31
1006,Matthias Ginter,GER,1,M'Gladbach,Bundesliga,28
1007,Nicholas Gioacchini,USA,2,Montpellier,Ligue 1,21
1008,Sebastian Giovinco,ITA,2,Sampdoria,Serie A,35
1009,Jimmy Giraudon,FRA,1,Troyes,Ligue 1,30
1010,Andrei Girotto,BRA,1,Nantes,Ligue 1,30
1011,Olivier Giroud,FRA,3,Milan,Serie A,35
1012,Serge Gnabry,GER,3,Bayern Munich,Bundesliga,26
1013,Ben Godfrey,ENG,1,Everton,Premier League,24
1014,Diego Godín,URU,1,Cagliari,Serie A,36
1015,Edoardo Goldaniga,ITA,2,Sassuolo,Serie A,28
1016,Edoardo Goldaniga,ITA,1,Cagliari,Serie A,28
1017,Aleksandr Golovin,RUS,3,Monaco,Ligue 1,25
1018,André Gomes,POR,2,Everton,Premier League,28
1019,Angel Gomes,ENG,2,Lille,Ligue 1,21
1020,Toti Gomes,POR,1,Wolves,Premier League,23
1021,Dani Gómez,ESP,3,Levante,La Liga,23
1022,Joe Gomez,ENG,1,Liverpool,Premier League,25
1023,Maxi Gómez,URU,3,Valencia,La Liga,25
1024,Moi Gómez,ESP,2,Villarreal,La Liga,27
1025,Papu Gómez,ARG,2,Sevilla,La Liga,34
1026,Sergi Gómez,ESP,1,Espanyol,La Liga,30
1027,Alfred Gomis,SEN,4,Rennes,Ligue 1,28
1028,Maxime Gonalons,FRA,2,Granada,La Liga,33
1029,Vagner Gonçalves,CPV,2,Metz,Ligue 1,26
1030,Cedric Gondo,CIV,3,Salernitana,Serie A,25
1031,Álvaro González,ESP,1,Marseille,Ligue 1,32
1032,Diego González,ESP,1,Elche,La Liga,27
1033,Édgar González,ESP,1,Betis,La Liga,25
1034,Giovanni González,URU,1,Mallorca,La Liga,27
1035,Nicolás González,ESP,2,Barcelona,La Liga,20
1036,Nicolás González,ARG,3,Fiorentina,Serie A,24
1037,Peter González,DOM,2,Real Madrid,La Liga,19
1038,Roberto González,ESP,3,Betis,La Liga,21
1039,Charlie Goode,ENG,1,Brentford,Premier League,26
1040,Anthony Gordon,ENG,2,Everton,Premier League,21
1041,Kaide Gordon,ENG,3,Liverpool,Premier League,17
1042,Leon Goretzka,GER,2,Bayern Munich,Bundesliga,27
1043,Gori,ESP,2,Espanyol,La Liga,20
1044,Andoni Gorosabel,ESP,1,Real Sociedad,La Liga,25
1045,Robin Gosens,GER,1,Atalanta,Serie A,27
1046,Robin Gosens,GER,1,Inter,Serie A,27
1047,Dan Gosling,ENG,2,Watford,Premier League,32
1048,Amine Gouiri,FRA,3,Nice,Ligue 1,22
1049,Jeffrey Gouweleeuw,NED,1,Augsburg,Bundesliga,30
1050,Jonathan Gradit,FRA,1,Lens,Ligue 1,29
1051,Jens Grahl,GER,4,Eint Frankfurt,Bundesliga,33
1052,Alberto Grassi,ITA,2,Cagliari,Serie A,27
1053,Jaume Grau,ESP,2,Osasuna,La Liga,25
1054,Andrew Gravillon,FRA,1,Reims,Ligue 1,24
1055,Demarai Gray,ENG,2,Everton,Premier League,25
1056,Adrian Grbi?,AUT,3,Lorient,Ligue 1,25
1057,Ivo Grbi?,CRO,4,Lille,Ligue 1,26
1058,Jack Grealish,ENG,3,Manchester City,Premier League,26
1059,Etienne Green,ENG,4,Saint-Étienne,Ligue 1,21
1060,Julian Green,USA,2,Greuther Fürth,Bundesliga,26
1061,Mason Greenwood,ENG,3,Manchester Utd,Premier League,20
1062,Sam Greenwood,ENG,2,Leeds United,Premier League,20
1063,Michael Gregoritsch,AUT,3,Augsburg,Bundesliga,28
1064,Dominik Greif,SVK,4,Mallorca,La Liga,25
1065,Clément Grenier,FRA,2,Mallorca,La Liga,31
1066,Sebastian Griesbeck,GER,2,Union Berlin,Bundesliga,31
1067,Sebastian Griesbeck,GER,1,Greuther Fürth,Bundesliga,31
1068,Antoine Griezmann,FRA,3,Barcelona,La Liga,31
1069,Antoine Griezmann,FRA,3,Atlético Madrid,La Liga,31
1070,Vincenzo Grifo,ITA,2,Freiburg,Bundesliga,29
1071,Lennart Grill,GER,4,Leverkusen,Bundesliga,23
1072,Florian Grillitsch,AUT,1,Hoffenheim,Bundesliga,26
1073,Arnaut Groeneveld,NED,3,Villarreal,La Liga,25
1074,Pascal Groß,GER,2,Brighton,Premier League,30
1075,Carlos Gruezo,ECU,2,Augsburg,Bundesliga,27
1076,Vicente Guaita,ESP,4,Crystal Palace,Premier League,35
1077,Andrés Guardado,MEX,2,Betis,La Liga,35
1078,Sergi Guardiola,ESP,3,Rayo Vallecano,La Liga,31
1079,Nemanja Gudelj,SRB,2,Sevilla,La Liga,30
1080,Gabriel Gudmundsson,SWE,1,Lille,Ligue 1,23
1081,Noah Guede-Nadje,FRA,3,Angers,Ligue 1,18
1082,Gonçalo Guedes,POR,3,Valencia,La Liga,25
1083,Marc Guéhi,ENG,1,Crystal Palace,Premier League,21
1084,Mattéo Guendouzi,FRA,2,Marseille,Ligue 1,23
1085,Yanis Guermouche,FRA,2,Montpellier,Ligue 1,21
1086,Raphaël Guerreiro,POR,1,Dortmund,Bundesliga,28
1087,Evann Guessand,FRA,3,Nice,Ligue 1,20
1088,Ander Guevara,ESP,2,Real Sociedad,La Liga,24
1089,Lamine Gueye,SEN,2,Metz,Ligue 1,24
1090,Pape Gueye,SEN,2,Marseille,Ligue 1,23
1091,John Guidetti,SWE,3,Alavés,La Liga,30
1092,Josuha Guilavogui,FRA,2,Bordeaux,Ligue 1,31
1093,Josuha Guilavogui,FRA,2,Wolfsburg,Bundesliga,31
1094,Frederic Guilbert,FRA,1,Strasbourg,Ligue 1,27
1095,Hugo Guillamón,ESP,2,Valencia,La Liga,22
1096,Bruno Guimarães,BRA,2,Lyon,Ligue 1,24
1097,Bruno Guimarães,BRA,2,Newcastle Utd,Premier League,24
1098,Sehrou Guirassy,GUI,3,Rennes,Ligue 1,26
1099,Péter Gulácsi,HUN,4,RB Leipzig,Bundesliga,32
1100,Manuel Gulde,GER,1,Freiburg,Bundesliga,31
1101,Gerard Gumbau,ESP,2,Elche,La Liga,27
1102,Robert Gumny,POL,1,Augsburg,Bundesliga,23
1103,Ýlkay Gündoðan,GER,2,Manchester City,Premier League,31
1104,Angus Gunn,ENG,4,Norwich City,Premier League,26
1105,Christian Günter,GER,1,Freiburg,Bundesliga,29
1106,Koray Günter,GER,1,Hellas Verona,Serie A,27
1107,Lasse Günther,GER,1,Augsburg,Bundesliga,19
1108,Jon Guridi,ESP,2,Real Sociedad,La Liga,27
1109,Malo Gusto,FRA,1,Lyon,Ligue 1,19
1110,Raúl Guti,ESP,2,Elche,La Liga,25
1111,Marcos Mauro López Gutiérrez,ARG,1,Cádiz,La Liga,31
1112,Miguel Gutiérrez,ESP,1,Real Madrid,La Liga,20
1113,Albert Gu?mundsson,ISL,3,Genoa,Serie A,24
1114,Joko Gvardiol,CRO,1,RB Leipzig,Bundesliga,20
1115,Emmanuel Gyasi,GHA,3,Spezia,Serie A,28
1116,Norbert Gyömbér,SVK,1,Salernitana,Serie A,29
1117,Erling Haaland,NOR,3,Dortmund,Bundesliga,21
1118,Nicolas Haas,SUI,2,Empoli,Serie A,26
1119,Janik Haberer,GER,2,Freiburg,Bundesliga,28
1120,Alexander Hack,GER,1,Mainz 05,Bundesliga,28
1121,Robin Hack,GER,3,Arminia,Bundesliga,23
1122,Munir El Haddadi,MAR,3,Sevilla,La Liga,26
1123,André Hahn,GER,2,Augsburg,Bundesliga,31
1124,Amadou Haidara,MLI,2,RB Leipzig,Bundesliga,24
1125,Massadio Haïdara,MLI,1,Lens,Ligue 1,29
1126,Oualid El Hajjam,MAR,1,Troyes,Ligue 1,31
1127,Achraf Hakimi,MAR,1,Paris S-G,Ligue 1,23
1128,Marcel Halstenberg,GER,1,RB Leipzig,Bundesliga,30
1129,Pierre-Yves Hamel,FRA,3,Lorient,Ligue 1,28
1130,Pierre-Yves Hamel,FRA,3,Clermont Foot,Ligue 1,28
1131,Romain Hamouma,FRA,3,Saint-Étienne,Ligue 1,35
1132,Samir Handanovi?,SVN,4,Inter,Serie A,37
1133,Grant Hanley,SCO,1,Norwich City,Premier League,30
1134,Ridgeciano Haps,SUR,1,Venezia,Serie A,28
1135,Genki Haraguchi,JPN,2,Union Berlin,Bundesliga,31
1136,Amine Harit,MAR,3,Marseille,Ligue 1,24
1137,Varazdat Haroyan,ARM,1,Cádiz,La Liga,29
1138,Jack Harrison,ENG,3,Leeds United,Premier League,25
1139,Abdou Harroui,NED,2,Sassuolo,Serie A,24
1140,Luis Hartwig,GER,2,Bochum,Bundesliga,19
1141,Makoto Hasebe,JPN,1,Eint Frankfurt,Bundesliga,38
1142,Hans Hateboer,NED,1,Atalanta,Serie A,28
1143,Kortney Hause,ENG,1,Aston Villa,Premier League,26
1144,Kai Havertz,GER,3,Chelsea,Premier League,22
1145,Isaac Hayden,ENG,2,Newcastle Utd,Premier League,27
1146,Eden Hazard,BEL,3,Real Madrid,La Liga,31
1147,Thorgan Hazard,BEL,3,Dortmund,Bundesliga,29
1148,Jonas Hector,GER,1,Köln,Bundesliga,32
1149,Hwang Hee-chan,KOR,3,RB Leipzig,Bundesliga,26
1150,Hwang Hee-chan,KOR,3,Wolves,Premier League,26
1151,Silvan Hefti,SUI,1,Genoa,Serie A,24
1152,Dominique Heintz,GER,1,Union Berlin,Bundesliga,28
1153,Dominique Heintz,GER,1,Freiburg,Bundesliga,28
1154,Jordan Henderson,ENG,2,Liverpool,Premier League,31
1155,Liam Henderson,SCO,2,Empoli,Serie A,26
1156,Jeff Hendrick,IRL,2,Newcastle Utd,Premier League,30
1157,Wayne Hennessey,WAL,4,Burnley,Premier League,35
1158,Benjamin Henrichs,GER,1,RB Leipzig,Bundesliga,25
1159,Henrique,BRA,1,Lyon,Ligue 1,28
1160,Dalbert Henrique,BRA,1,Cagliari,Serie A,28
1161,Luis Henrique,BRA,3,Marseille,Ligue 1,20
1162,Matheus Henrique,BRA,2,Sassuolo,Serie A,24
1163,Rico Henry,ENG,1,Brentford,Premier League,24
1164,Thomas Henry,FRA,3,Venezia,Serie A,27
1165,Christophe Hérelle,MTQ,1,Brest,Ligue 1,29
1166,Jérôme Hergault,FRA,1,Lorient,Ligue 1,36
1167,Kike Hermoso,ESP,1,Betis,La Liga,22
1168,Mario Hermoso,ESP,1,Atlético Madrid,La Liga,26
1169,Aridane Hernández,EQG,1,Osasuna,La Liga,33
1170,Lucas Hernández,FRA,1,Bayern Munich,Bundesliga,26
1171,Luis Hernández,ESP,1,Cádiz,La Liga,33
1172,Mario Hernández,ESP,1,Rayo Vallecano,La Liga,23
1173,Theo Hernández,FRA,1,Milan,Serie A,24
1174,Hernani,BRA,2,Genoa,Serie A,28
1175,Ander Herrera,ESP,2,Paris S-G,Ligue 1,32
1176,Héctor Herrera,MEX,2,Atlético Madrid,La Liga,32
1177,Sergio Herrera,ESP,4,Osasuna,La Liga,28
1178,Yangel Herrera,VEN,2,Espanyol,La Liga,24
1179,Patrick Herrmann,GER,1,M'Gladbach,Bundesliga,31
1180,Son Heung-min,KOR,3,Tottenham,Premier League,29
1181,Daan Heymans,BEL,2,Venezia,Serie A,22
1182,Aaron Hickey,SCO,1,Bologna,Serie A,19
1183,Piero Hincapié,ECU,1,Leverkusen,Bundesliga,20
1184,Martin Hinteregger,AUT,1,Eint Frankfurt,Bundesliga,29
1185,Marwin Hitz,SUI,4,Dortmund,Bundesliga,34
1186,Ki-Jana Hoever,NED,1,Wolves,Premier League,20
1187,Nicolas Höfler,GER,2,Freiburg,Bundesliga,32
1188,Jonas Hofmann,GER,2,M'Gladbach,Bundesliga,29
1189,Rob Holding,ENG,1,Arsenal,Premier League,26
1190,Lucas Höler,GER,3,Freiburg,Bundesliga,27
1191,Mason Holgate,ENG,1,Everton,Premier League,25
1192,Gerrit Holtmann,PHI,3,Bochum,Bundesliga,27
1193,Martin Hongla,CMR,2,Hellas Verona,Serie A,24
1194,Franck Honorat,FRA,2,Brest,Ligue 1,25
1195,Justin Hoogma,NED,1,Greuther Fürth,Bundesliga,23
1196,Sydney van Hooijdonk,NED,3,Bologna,Serie A,22
1197,Matthew Hoppe,USA,3,Mallorca,La Liga,21
1198,Jannes Horn,GER,1,Köln,Bundesliga,25
1199,Timo Horn,GER,4,Köln,Bundesliga,29
1200,Fraser Hornby,SCO,3,Reims,Ligue 1,22
1201,Cédric Hountondji,BEN,1,Clermont Foot,Ligue 1,28
1202,Luká Hrádeck?,FIN,4,Leverkusen,Bundesliga,32
1203,Branimir Hrgota,SWE,3,Greuther Fürth,Bundesliga,29
1204,Petko Hristov,BUL,1,Spezia,Serie A,23
1205,Ajdin Hrustic,AUS,2,Eint Frankfurt,Bundesliga,25
1206,Timo Hübers,GER,1,Köln,Bundesliga,25
1207,Benjamin Hübner,GER,1,Hoffenheim,Bundesliga,32
1208,Callum Hudson-Odoi,ENG,3,Chelsea,Premier League,21
1209,Will Hughes,ENG,2,Crystal Palace,Premier League,27
1210,Mats Hummels,GER,1,Dortmund,Bundesliga,33
1211,Elseid Hysaj,ALB,1,Lazio,Serie A,28
1212,Suk Hyun-jun,KOR,3,Troyes,Ligue 1,30
1213,Pierre Højbjerg,DEN,2,Tottenham,Premier League,26
1214,Iago,BRA,1,Augsburg,Bundesliga,25
1215,Robert Ibáñez,ESP,2,Osasuna,La Liga,29
1216,Roger Ibanez,BRA,1,Roma,Serie A,23
1217,Vicente Iborra,ESP,2,Villarreal,La Liga,34
1218,Zlatan Ibrahimovi?,SWE,3,Milan,Serie A,40
1219,Mauro Icardi,ARG,3,Paris S-G,Ligue 1,29
1220,Adam Idah,IRL,3,Norwich City,Premier League,21
1221,Oussama Idrissi,MAR,3,Sevilla,La Liga,26
1222,Oussama Idrissi,MAR,2,Cádiz,La Liga,26
1223,Iglesias,ESP,1,Getafe,La Liga,23
1224,Borja Iglesias,ESP,3,Betis,La Liga,29
1225,Jonathan Iglesias,URU,2,Clermont Foot,Ligue 1,33
1226,Juan Ignacio Ramírez,URU,3,Saint-Étienne,Ligue 1,25
1227,Igor,BRA,1,Fiorentina,Serie A,24
1228,Kelechi Iheanacho,NGA,3,Leicester City,Premier League,25
1229,Danylo Ihnatenko,UKR,2,Bordeaux,Ligue 1,25
1230,Jonathan Ikone,FRA,2,Lille,Ligue 1,24
1231,Jonathan Ikone,FRA,3,Fiorentina,Serie A,24
1232,Ivan Ili?,SRB,2,Hellas Verona,Serie A,21
1233,Josip Ili?i?,SVN,3,Atalanta,Serie A,34
1234,Asier Illarramendi,ESP,2,Real Sociedad,La Liga,32
1235,Stefan Ilsanker,AUT,1,Eint Frankfurt,Bundesliga,33
1236,Ciro Immobile,ITA,3,Lazio,Serie A,32
1237,Burak Ýnce,TUR,3,Arminia,Bundesliga,18
1238,Danny Ings,ENG,3,Aston Villa,Premier League,29
1239,Marcus Ingvartsen,DEN,2,Union Berlin,Bundesliga,26
1240,Marcus Ingvartsen,DEN,3,Mainz 05,Bundesliga,26
1241,Bonke Innocent,NGA,2,Lorient,Ligue 1,26
1242,Lorenzo Insigne,ITA,3,Napoli,Serie A,30
1243,Nikita Iosifov,RUS,2,Villarreal,La Liga,21
1244,Tim Iroegbunam,ENG,2,Aston Villa,Premier League,18
1245,Alexander Isak,SWE,3,Real Sociedad,La Liga,22
1246,Isco,ESP,2,Real Madrid,La Liga,30
1247,Wilson Isidor,FRA,3,Monaco,Ligue 1,21
1248,Ardian Ismajli,ALB,1,Empoli,Serie A,25
1249,Hiroki Ito,JPN,1,Stuttgart,Bundesliga,23
1250,Cedric Itten,SUI,3,Greuther Fürth,Bundesliga,25
1251,Gian-Luca Itter,GER,1,Greuther Fürth,Bundesliga,23
1252,Alex Iwobi,NGA,2,Everton,Premier League,26
1253,Armando Izzo,ITA,1,Torino,Serie A,30
1254,Nicolas Jackson,SEN,3,Villarreal,La Liga,20
1255,Lee Jae-sung,KOR,2,Mainz 05,Bundesliga,29
1256,Paul Jaeckel,GER,1,Union Berlin,Bundesliga,23
1257,Mato Jajalo,BIH,2,Udinese,Serie A,34
1258,Kristijan Jaki?,CRO,2,Eint Frankfurt,Bundesliga,25
1259,Ismail Jakobs,GER,1,Monaco,Ligue 1,22
1260,Marin Jakoli,CRO,3,Angers,Ligue 1,25
1261,Abdel Jalil Medioub,ALG,1,Bordeaux,Ligue 1,24
1262,Daniel James,WAL,3,Manchester Utd,Premier League,24
1263,Daniel James,WAL,3,Leeds United,Premier League,24
1264,Reece James,ENG,1,Chelsea,Premier League,22
1265,Vitaly Janelt,GER,2,Brentford,Premier League,24
1266,Jakub Jankto,CZE,1,Getafe,La Liga,26
1267,Pontus Jansson,SWE,1,Brentford,Premier League,31
1268,Tony Jantschke,GER,1,M'Gladbach,Bundesliga,32
1269,Adnan Januzaj,BEL,3,Real Sociedad,La Liga,27
1270,Pawe? Jaroszy?ski,POL,1,Salernitana,Serie A,27
1271,Jason,ESP,2,Alavés,La Liga,27
1272,Jason,ESP,2,Valencia,La Liga,27
1273,Dennis Jastrzembski,POL,1,Hertha BSC,Bundesliga,22
1274,Luis Javier Suárez,COL,3,Granada,La Liga,24
1275,Corentin Jean,FRA,3,Lens,Ligue 1,26
1276,Jemerson,BRA,1,Metz,Ligue 1,29
1277,Fredrik Jensen,FIN,2,Augsburg,Bundesliga,24
1278,Mathias Jensen,DEN,2,Brentford,Premier League,26
1279,Moritz Jenz,GER,1,Lorient,Ligue 1,23
1280,Gabriel Jesus,BRA,3,Manchester City,Premier League,25
1281,Juan Jesus,BRA,1,Napoli,Serie A,30
1282,Álvaro Jiménez,ESP,2,Cádiz,La Liga,27
1283,Raúl Jiménez,MEX,3,Wolves,Premier League,31
1284,Joaquín,ESP,3,Betis,La Liga,40
1285,Joelinton,BRA,2,Newcastle Utd,Premier League,25
1286,Jofre,ESP,2,Espanyol,La Liga,20
1287,Marco John,GER,1,Hoffenheim,Bundesliga,20
1288,Dennis Johnsen,NOR,3,Venezia,Serie A,24
1289,Ben Johnson,ENG,1,West Ham,Premier League,22
1290,Curtis Jones,ENG,2,Liverpool,Premier League,21
1291,Phil Jones,ENG,1,Manchester Utd,Premier League,30
1292,Frenkie de Jong,NED,2,Barcelona,La Liga,25
1293,Luuk de Jong,NED,3,Barcelona,La Liga,31
1294,Joan Jordán,ESP,2,Sevilla,La Liga,27
1295,Kaio Jorge,BRA,2,Juventus,Serie A,20
1296,Jorginho,ITA,2,Chelsea,Premier League,30
1297,Josan,ESP,1,Elche,La Liga,32
1298,Willian José,BRA,3,Betis,La Liga,30
1299,Joselu,ESP,3,Alavés,La Liga,32
1300,Josema,ESP,1,Elche,La Liga,25
1301,Lenny Joseph,FRA,3,Metz,Ligue 1,21
1302,Diogo Jota,POR,3,Liverpool,Premier League,25
1303,Stevan Joveti?,MNE,3,Hertha BSC,Bundesliga,32
1304,Luka Jovi?,SRB,3,Real Madrid,La Liga,24
1305,Miguel Juan Llambrich,ESP,1,Espanyol,La Liga,26
1306,José Juan Macías,MEX,3,Getafe,La Liga,22
1307,Juanmi,ESP,3,Betis,La Liga,29
1308,Gideon Jung,GER,1,Greuther Fürth,Bundesliga,27
1309,Flavio Junior Bianchi,ITA,3,Genoa,Serie A,22
1310,Hamed Junior Traorè,CIV,3,Sassuolo,Serie A,22
1311,Lago Junior,CIV,3,Mallorca,La Liga,31
1312,Vinicius Júnior,BRA,3,Real Madrid,La Liga,21
1313,James Justin,ENG,1,Leicester City,Premier League,24
1314,Jutglà,ESP,3,Barcelona,La Liga,23
1315,Jens Jønsson,DEN,2,Cádiz,La Liga,29
1316,Mathias Jørgensen,DEN,1,Brentford,Premier League,32
1317,Ozan Kabak,TUR,1,Norwich City,Premier League,22
1318,Christian Kabasele,BEL,1,Watford,Premier League,31
1319,Issa Kaboré,BFA,1,Troyes,Ligue 1,21
1320,Anton Kade,GER,2,Hertha BSC,Bundesliga,18
1321,Pavel Kade?ábek,CZE,1,Hoffenheim,Bundesliga,30
1322,Tino Kadewere,ZIM,3,Lyon,Ligue 1,26
1323,Florian Kainz,AUT,2,Köln,Bundesliga,29
1324,Gaël Kakuta,COD,2,Lens,Ligue 1,30
1325,Sasa Kalajdzic,AUT,3,Stuttgart,Bundesliga,24
1326,Arnaud Kalimuendo,FRA,3,Paris S-G,Ligue 1,20
1327,Arnaud Kalimuendo,FRA,3,Lens,Ligue 1,20
1328,Nikola Kalini?,CRO,3,Hellas Verona,Serie A,34
1329,Yayah Kallon,SLE,3,Genoa,Serie A,20
1330,Felix Kalu Nmecha,GER,2,Wolfsburg,Bundesliga,21
1331,Samuel Kalu,NGA,3,Watford,Premier League,24
1332,Samuel Kalu,NGA,3,Bordeaux,Ligue 1,24
1333,Pierre Kalulu,FRA,1,Milan,Serie A,21
1334,Daichi Kamada,JPN,2,Eint Frankfurt,Bundesliga,25
1335,Boubacar Kamara,FRA,2,Marseille,Ligue 1,22
1336,Hassane Kamara,CIV,2,Nice,Ligue 1,28
1337,Hassane Kamara,CIV,1,Watford,Premier League,28
1338,Dimitrije Kamenovi?,SRB,1,Lazio,Serie A,21
1339,Kevin Kampl,SVN,2,RB Leipzig,Bundesliga,31
1340,Jean-Armel Kana-Biyik,CMR,1,Metz,Ligue 1,32
1341,Nordine Kandil,FRA,2,Strasbourg,Ligue 1,20
1342,Harry Kane,ENG,3,Tottenham,Premier League,28
1343,Lee Kangin,KOR,2,Mallorca,La Liga,21
