,Player,Value,Nation,Pos,Pos2,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,stats_id,player_id
1173,Theo Hernández,6000000000,FRA,1,N/A,Milan,Serie A,24,32.0,30.0,2711.0,0.17,1.33,0.43,32.5,0.1,24.0,0.17,0.03,0.07,47.2,81.2,89.5,85.3,59.7,0.17,1.2,0.5,58.1,2.29,5.32,2.03,2.29,1.5,45.1,3.36,1.83,2.92,0.5,1.4,0.5,0.17,0.66,57.1,12.8,1.26,0.17,0.0,1.83,3.89,2.52,20.1,35.1,20.9,1.56,2.62,59.5,45.3,297.0,194.0,1.03,42.8,91.3,0.23,0.07,0.03,1.2,2.62,0.27,2.29,0.0,0.0,0.8,0.53,60.0,1174,1174
1175,Ander Herrera,300000000,ESP,2,N/A,Paris S-G,Ligue 1,32,19.0,12.0,1091.0,0.25,1.16,0.25,21.4,0.21,20.6,0.0,0.0,0.0,80.0,91.9,94.7,93.5,80.7,0.17,1.24,0.0,87.0,0.91,9.34,0.91,0.58,0.08,12.1,72.8,1.98,3.22,0.58,0.58,1.16,0.5,1.07,34.2,17.9,1.32,0.66,0.0,1.98,4.21,2.98,18.3,58.7,23.7,0.58,0.83,70.0,69.1,267.9,134.5,0.66,79.4,95.0,0.17,0.0,0.0,1.4,0.58,0.25,0.58,0.0,0.0,0.0,0.5,0.0,1176,1176
1177,Sergio Herrera,800000000,ESP,4,N/A,Osasuna,La Liga,28,36.0,36.0,3240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,57.3,97.1,97.6,48.9,0.0,0.0,0.0,31.9,3.72,1.67,0.92,0.0,0.0,1.44,24.5,0.53,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.06,0.0,0.0,0.0,0.0,27.7,34.3,0.44,0.0,0.08,0.11,75.0,15.2,105.9,58.1,0.0,11.9,99.8,0.08,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178,1178
1178,Yangel Herrera,900000000,VEN,2,N/A,Espanyol,La Liga,24,23.0,19.0,1645.0,0.05,0.82,0.16,20.0,0.07,18.7,0.0,0.0,0.0,39.2,83.6,86.9,84.8,74.4,0.05,0.33,0.05,46.9,0.93,11.9,0.55,0.44,0.0,9.84,31.2,1.42,1.31,0.22,1.09,1.37,0.33,0.44,32.0,23.9,1.64,0.27,0.0,1.64,4.43,3.17,16.4,37.0,9.78,1.15,1.69,67.7,39.5,156.1,60.3,1.69,39.9,89.3,0.38,0.05,0.05,2.84,2.51,0.05,0.44,0.0,0.0,3.66,3.28,52.8,1179,1179
1179,Patrick Herrmann,200000000,GER,1,FW,M'Gladbach,Bundesliga,31,23.0,5.0,754.0,0.0,1.79,0.48,26.7,0.0,15.3,0.12,0.0,0.0,31.3,70.7,80.6,78.8,47.5,0.48,1.43,0.48,44.3,2.26,7.86,2.14,3.69,2.62,3.21,35.2,2.38,3.45,0.71,0.6,0.95,0.48,1.19,40.0,16.0,1.43,0.12,0.0,0.95,2.98,1.67,9.88,20.5,28.5,1.07,1.55,69.2,32.3,153.5,84.9,1.55,32.7,81.1,0.12,0.0,0.0,0.95,1.31,0.48,3.69,0.0,0.0,0.36,0.83,30.0,1180,1180
1181,Daan Heymans,150000000,BEL,2,FW,Venezia,Serie A,22,7.0,2.0,256.0,0.0,1.07,0.36,33.3,0.0,13.2,0.0,0.0,0.0,28.2,81.4,81.0,88.1,70.0,0.36,0.71,0.36,34.6,0.36,5.36,0.0,1.07,0.0,5.0,25.4,0.36,1.43,0.36,0.36,0.71,0.36,0.71,28.6,15.7,2.86,1.07,0.0,1.43,2.86,3.21,11.4,22.9,13.2,0.71,1.07,66.7,24.6,104.3,43.6,0.0,30.4,80.2,1.43,0.0,0.0,2.86,0.36,0.0,1.07,0.0,0.0,2.5,1.07,70.0,1182,1182
1182,Aaron Hickey,1800000000,SCO,1,N/A,Bologna,Serie A,19,36.0,34.0,2820.0,0.16,0.67,0.42,61.9,0.24,21.0,0.0,0.0,0.0,34.1,81.8,91.0,82.2,52.2,0.03,0.7,0.29,41.7,0.73,6.65,0.32,1.25,0.0,19.0,13.5,1.12,1.25,0.13,0.73,0.38,0.32,0.51,59.3,12.8,2.11,0.48,0.0,1.25,2.68,3.0,16.5,23.7,16.0,0.89,1.76,50.9,33.5,171.7,94.9,0.86,31.3,87.2,0.22,0.0,0.0,1.44,2.4,0.13,1.25,0.0,0.0,0.54,1.31,29.3,1183,1183
1183,Piero Hincapié,2500000000,ECU,1,N/A,Leverkusen,Bundesliga,20,27.0,20.0,1754.0,0.05,0.46,0.05,11.1,0.11,14.3,0.0,0.0,0.0,51.2,82.8,91.4,89.6,59.4,0.1,0.41,0.15,61.8,0.72,8.97,0.72,0.67,0.0,44.6,7.38,1.9,0.87,0.21,1.38,0.56,0.0,0.97,59.4,14.5,2.26,0.82,0.0,2.87,4.82,8.41,33.7,40.5,7.64,0.87,1.44,60.7,46.6,298.7,171.4,0.77,45.8,94.3,0.26,0.0,0.0,1.49,0.77,0.15,0.67,0.0,0.0,2.92,2.1,58.2,1184,1184
1185,Marwin Hitz,500000,SUI,4,N/A,Dortmund,Bundesliga,34,5.0,4.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,87.6,96.4,98.5,75.6,0.0,0.0,0.0,39.3,2.0,2.67,0.44,0.0,0.0,5.33,26.7,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9,42.0,0.22,0.0,0.0,0.0,0.0,20.9,83.3,33.1,0.0,20.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186,1186
1187,Nicolas Höfler,250000000,GER,2,N/A,Freiburg,Bundesliga,32,30.0,30.0,2600.0,0.07,1.11,0.35,31.3,0.06,15.5,0.0,0.0,0.0,35.2,84.0,89.8,86.9,66.4,0.14,0.55,0.07,41.8,0.87,8.06,0.66,0.38,0.0,12.3,24.9,0.9,1.25,0.24,1.35,1.11,0.24,0.93,40.3,18.7,1.97,0.87,0.0,1.59,4.29,3.53,14.7,31.8,8.69,0.83,1.11,75.0,30.4,134.3,55.6,0.55,29.2,94.8,0.17,0.0,0.0,2.01,1.38,0.0,0.38,0.03,0.0,2.53,1.97,56.2,1188,1188
1188,Jonas Hofmann,1300000000,GER,2,FW,M'Gladbach,Bundesliga,29,26.0,24.0,2078.0,0.52,2.29,0.91,39.6,0.23,16.0,0.17,0.0,0.0,43.2,78.3,89.3,84.1,57.5,0.22,1.3,0.22,55.2,2.99,9.61,2.38,1.6,3.9,9.05,42.4,1.86,5.58,0.48,0.52,0.91,0.39,0.65,35.7,20.9,1.39,0.09,0.0,1.21,3.03,1.26,9.96,35.3,25.3,0.69,1.73,40.0,41.5,218.1,112.3,1.39,45.8,82.7,0.04,0.0,0.0,1.04,0.95,0.3,1.6,0.0,0.0,0.43,0.69,38.5,1189,1189
1189,Rob Holding,1000000000,ENG,1,N/A,Arsenal,Premier League,26,15.0,9.0,845.0,0.11,0.43,0.11,25.0,0.25,6.8,0.0,0.0,0.0,44.5,88.2,91.5,94.5,67.9,0.0,0.0,0.0,50.4,0.74,6.6,1.06,0.0,0.0,6.28,39.8,0.74,0.32,0.0,1.06,0.11,0.11,0.53,62.5,6.6,2.66,1.91,0.0,1.6,2.87,10.0,31.7,30.7,2.02,0.11,0.32,33.3,37.2,170.1,83.3,0.32,38.7,97.6,0.43,0.11,0.11,0.96,0.43,0.0,0.0,0.0,0.0,2.98,2.23,57.1,1190,1190
1190,Lucas Höler,500000000,GER,3,MF,Freiburg,Bundesliga,27,34.0,30.0,2583.0,0.24,2.13,0.91,42.6,0.11,13.9,0.0,0.0,0.0,21.9,69.5,75.1,72.4,59.0,0.07,1.01,0.07,31.5,0.0,11.7,0.35,0.84,0.0,3.34,20.8,1.36,2.96,0.35,0.45,0.49,0.38,0.21,27.3,18.3,1.22,0.17,0.0,0.77,2.09,1.15,5.64,19.4,23.5,0.59,1.6,37.0,25.9,117.6,52.6,2.16,33.8,63.4,0.07,0.0,0.0,1.36,2.37,0.49,0.84,0.0,0.0,5.23,4.36,54.5,1191,1191
1191,Mason Holgate,1200000000,ENG,1,N/A,Everton,Premier League,25,25.0,23.0,2134.0,0.08,0.3,0.08,28.6,0.29,9.8,0.0,0.0,0.0,23.8,70.2,81.2,78.8,52.7,0.04,0.08,0.0,33.9,1.48,4.85,1.6,0.13,0.0,5.02,22.8,0.76,0.13,0.04,1.31,0.51,0.04,0.59,46.7,9.75,1.27,0.8,0.08,1.77,3.63,7.43,23.5,21.0,2.32,0.04,0.08,50.0,19.2,105.7,51.2,0.34,21.0,96.7,0.3,0.04,0.0,1.18,0.72,0.0,0.13,0.0,0.04,3.21,1.48,68.5,1192,1192
1192,Gerrit Holtmann,350000000,PHI,3,MF,Bochum,Bundesliga,27,29.0,23.0,1840.0,0.25,2.3,0.98,42.6,0.11,20.3,0.0,0.0,0.0,12.1,67.7,81.5,67.3,41.1,0.2,1.32,0.69,17.9,0.1,3.14,0.98,2.6,0.0,14.2,2.06,0.59,2.94,0.44,0.29,0.15,0.2,0.05,4.3,15.1,1.32,0.1,0.0,1.08,1.72,0.44,3.68,13.0,19.2,2.25,4.46,50.5,24.4,156.0,105.8,2.65,22.0,60.8,0.0,0.0,0.0,1.13,0.78,0.25,2.6,0.0,0.0,0.34,1.76,16.3,1193,1193
1193,Martin Hongla,350000000,CMR,2,N/A,Hellas Verona,Serie A,24,18.0,7.0,651.0,0.14,1.25,0.56,44.4,0.11,19.1,0.0,0.0,0.0,32.5,77.0,82.5,78.4,70.5,0.0,0.42,0.0,42.2,0.56,8.33,1.81,0.42,0.0,6.25,29.7,0.97,0.97,0.0,1.25,1.11,0.69,0.69,55.6,15.0,0.69,0.28,0.0,1.39,4.44,3.33,12.5,31.9,11.7,0.14,0.42,33.3,32.6,166.5,60.7,1.39,31.0,89.6,0.42,0.0,0.0,2.22,0.69,0.0,0.42,0.0,0.0,2.36,2.5,48.6,1194,1194
1194,Franck Honorat,900000000,FRA,2,FW,Brest,Ligue 1,25,34.0,34.0,2899.0,0.34,1.89,0.93,49.2,0.18,20.2,0.03,0.0,0.0,26.1,68.7,80.4,69.2,49.8,0.12,1.49,0.68,38.0,0.9,4.91,2.58,3.91,1.61,4.19,29.9,1.74,3.7,0.43,0.78,0.56,0.53,0.59,42.2,17.3,1.37,0.06,0.0,1.02,2.89,0.87,6.93,18.9,28.3,1.09,2.39,45.5,31.8,187.4,126.4,1.3,33.6,74.9,0.09,0.0,0.0,0.81,0.71,0.16,3.91,0.0,0.0,0.75,1.21,38.1,1195,1195
1196,Sydney van Hooijdonk,300000000,NED,3,MF,Bologna,Serie A,22,4.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,94.1,90.9,100.0,0.0,0.0,0.0,0.0,42.5,0.0,15.0,0.0,0.0,0.0,2.5,27.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,37.5,2.5,0.0,0.0,0.0,2.5,0.0,5.0,27.5,35.0,2.5,2.5,100.0,37.5,155.0,2.5,2.5,50.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.5,40.0,1197,1197
1197,Matthew Hoppe,150000000,USA,3,N/A,Mallorca,La Liga,21,5.0,1.0,131.0,0.0,1.33,0.0,0.0,0.0,15.0,0.0,0.0,0.0,17.3,72.2,90.0,60.0,100.0,0.67,0.0,0.0,24.0,0.0,7.33,0.0,0.0,0.0,2.67,18.7,0.0,2.67,0.67,0.0,0.0,0.67,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.67,0.0,4.0,16.7,14.0,0.0,2.0,0.0,18.7,42.7,8.67,1.33,24.7,50.0,0.0,0.0,0.0,2.67,0.67,1.33,0.0,0.0,0.0,1.33,6.67,16.7,1198,1198
1199,Timo Horn,150000000,GER,4,N/A,Köln,Bundesliga,29,13.0,13.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,80.6,100.0,99.0,61.9,0.0,0.0,0.0,40.0,2.46,2.0,0.46,0.0,0.0,25.8,8.92,0.54,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,37.3,42.3,0.15,0.0,0.08,0.08,100.0,24.9,93.1,45.3,0.0,24.6,99.4,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,1200
1200,Fraser Hornby,120000000,SCO,3,MF,Reims,Ligue 1,22,8.0,4.0,350.0,0.0,1.54,0.51,33.3,0.0,11.6,0.0,0.0,0.0,13.8,61.4,69.6,70.8,37.5,0.0,0.51,0.26,22.6,0.0,10.5,0.26,0.26,0.0,2.56,12.1,1.54,0.77,0.0,0.0,0.77,0.0,0.0,0.0,25.9,0.26,0.0,0.0,0.51,1.28,1.28,4.87,18.7,11.5,0.51,1.54,33.3,16.9,93.8,40.5,1.28,25.4,56.9,0.26,0.0,0.0,1.79,1.79,1.54,0.26,0.0,0.0,5.9,3.59,62.2,1201,1201
1201,Cédric Hountondji,300000000,BEN,1,N/A,Clermont Foot,Ligue 1,28,23.0,23.0,2034.0,0.04,0.35,0.13,37.5,0.13,8.1,0.0,0.0,0.0,37.8,86.3,91.0,90.7,66.7,0.0,0.04,0.0,43.8,1.37,4.51,0.88,0.04,0.0,7.48,32.5,0.88,0.18,0.04,1.42,0.44,0.0,0.75,70.8,7.12,1.02,0.49,0.0,2.17,4.03,6.73,32.6,22.4,0.93,0.04,0.04,100.0,31.1,139.2,73.7,0.13,33.6,98.4,0.09,0.0,0.0,0.53,0.31,0.0,0.04,0.0,0.04,2.48,0.75,76.7,1202,1202
1205,Ajdin Hrustic,180000000,AUS,2,N/A,Eint Frankfurt,Bundesliga,25,23.0,9.0,964.0,0.19,2.71,0.75,27.6,0.07,23.7,0.09,0.0,0.0,45.4,81.1,87.1,90.0,64.5,0.0,0.65,0.19,56.0,1.21,7.57,2.06,0.84,1.03,46.8,6.73,2.15,1.96,0.0,0.37,0.84,0.47,0.56,25.0,19.2,1.59,0.28,0.0,1.78,3.46,2.06,14.5,43.5,16.9,0.84,1.59,52.9,50.4,212.9,104.9,2.34,48.7,92.5,0.19,0.0,0.0,1.59,0.75,0.0,0.84,0.0,0.0,0.84,1.21,40.9,1206,1206
1206,Timo Hübers,750000000,GER,1,N/A,Köln,Bundesliga,25,20.0,20.0,1740.0,0.05,0.52,0.16,30.0,0.1,9.5,0.0,0.0,0.0,53.9,85.6,88.0,91.2,77.5,0.0,0.16,0.0,63.0,3.01,6.53,2.07,0.1,0.0,13.8,43.7,0.98,0.41,0.0,1.76,0.67,0.0,1.24,50.0,12.2,2.38,1.14,0.05,3.94,6.37,13.9,51.5,29.2,2.02,0.47,0.52,90.0,45.6,252.7,128.7,0.36,44.6,98.4,0.36,0.0,0.0,1.4,1.5,0.0,0.1,0.0,0.05,3.94,2.23,63.9,1207,1207
1208,Callum Hudson-Odoi,1700000000,ENG,3,MF,Chelsea,Premier League,21,15.0,11.0,962.0,0.09,1.59,0.65,41.2,0.06,13.2,0.0,0.0,0.0,29.3,79.6,86.1,81.8,53.7,0.19,1.87,0.47,36.7,0.19,7.2,0.75,2.43,0.47,5.23,29.7,1.87,4.77,0.56,0.37,0.65,0.19,0.28,20.0,14.8,1.21,0.0,0.0,0.47,1.68,0.65,3.74,18.1,29.4,1.78,2.8,63.3,39.2,278.6,174.4,2.06,36.8,76.8,0.09,0.0,0.0,1.12,2.06,0.37,2.43,0.0,0.0,0.47,1.12,29.4,1209,1209
1209,Will Hughes,500000000,ENG,2,N/A,Crystal Palace,Premier League,27,16.0,13.0,1053.0,0.0,0.51,0.0,0.0,0.0,21.3,0.0,0.0,0.0,36.6,81.8,87.6,90.7,57.5,0.09,0.6,0.26,44.7,1.2,7.18,1.54,0.77,1.97,34.1,7.09,0.68,1.71,0.26,0.77,1.45,0.26,0.6,36.8,18.1,2.14,0.6,0.0,1.88,4.36,2.74,15.0,30.9,12.4,0.51,1.11,46.2,32.6,142.3,67.2,0.94,32.2,92.9,0.51,0.0,0.0,2.05,1.71,0.0,0.77,0.09,0.0,1.62,1.71,48.7,1210,1210
1210,Mats Hummels,650000000,GER,1,N/A,Dortmund,Bundesliga,33,23.0,20.0,1765.0,0.05,0.61,0.15,25.0,0.08,8.3,0.0,0.0,0.0,68.0,87.9,90.0,92.3,78.2,0.1,0.26,0.0,77.4,1.94,9.9,2.35,0.1,0.0,24.9,44.9,1.43,0.61,0.15,1.17,0.71,0.05,0.82,47.1,9.29,1.43,0.71,0.0,2.96,4.9,10.9,46.4,44.4,2.65,0.26,0.41,62.5,57.1,315.7,176.9,0.15,59.9,98.0,0.2,0.0,0.0,0.87,0.71,0.05,0.1,0.1,0.0,4.34,2.14,66.9,1211,1211
1211,Elseid Hysaj,400000000,ALB,1,N/A,Lazio,Serie A,28,29.0,24.0,2027.0,0.04,0.18,0.09,50.0,0.25,21.2,0.0,0.0,0.0,54.8,87.1,93.5,89.3,61.5,0.0,0.71,0.18,62.9,0.58,4.89,0.62,0.98,0.0,16.6,37.4,1.51,1.29,0.04,1.07,0.71,0.13,1.07,63.2,9.2,1.6,0.36,0.0,1.29,3.2,3.07,22.8,38.7,14.0,0.67,1.42,46.9,48.7,199.7,86.6,0.49,48.8,95.1,0.13,0.0,0.0,0.71,0.84,0.09,0.98,0.04,0.0,0.98,1.07,47.8,1212,1212
1214,Iago,550000000,BRA,1,N/A,Augsburg,Bundesliga,25,28.0,26.0,2174.0,0.08,0.5,0.21,41.7,0.17,18.5,0.0,0.0,0.0,33.6,68.3,88.0,71.0,47.5,0.21,1.61,0.83,49.2,0.7,7.07,1.12,3.8,0.0,29.9,5.95,2.15,2.02,0.29,1.24,0.74,0.33,0.54,38.2,16.6,2.36,0.25,0.0,1.82,4.13,3.43,21.0,27.6,17.4,0.58,1.45,40.0,32.4,207.4,106.9,0.83,31.7,91.0,0.12,0.0,0.0,0.87,0.74,0.17,3.8,0.0,0.04,1.32,1.12,54.2,1215,1215
1219,Mauro Icardi,1800000000,ARG,3,N/A,Paris S-G,Ligue 1,29,24.0,10.0,1027.0,0.35,2.46,0.88,35.7,0.14,10.3,0.0,0.0,0.0,10.5,79.5,83.3,80.4,75.0,0.0,0.35,0.0,13.2,0.0,3.07,0.18,0.35,0.0,2.54,9.56,0.35,1.75,0.35,0.09,0.18,0.09,0.18,33.3,16.5,0.26,0.0,0.0,0.7,1.05,1.23,1.67,7.46,13.2,0.18,0.61,28.6,11.4,49.4,18.3,1.23,14.5,47.7,0.09,0.0,0.0,1.32,0.79,0.79,0.35,0.0,0.0,0.44,0.88,33.3,1220,1220
1221,Oussama Idrissi,400000000,MAR,3,MF,Sevilla,La Liga,26,5.0,2.0,127.0,0.0,2.86,1.43,50.0,0.0,18.8,0.0,0.0,0.0,28.6,80.0,80.0,80.0,80.0,0.0,1.43,0.0,35.7,0.0,6.43,0.71,0.0,0.0,2.86,30.0,2.14,2.86,0.71,0.0,0.71,0.0,0.0,0.0,17.1,0.71,0.0,0.0,2.86,3.57,0.71,2.86,20.7,33.6,5.0,7.86,63.6,43.6,189.3,105.0,2.14,41.4,77.3,0.71,0.0,0.0,2.86,2.86,1.43,0.0,0.0,0.0,0.71,0.71,50.0,1222,1222
1222,Oussama Idrissi,400000000,MAR,2,N/A,Cádiz,La Liga,26,12.0,11.0,902.0,0.1,2.1,0.8,38.1,0.05,19.9,0.0,0.0,0.0,29.1,75.0,84.2,80.9,59.5,0.1,1.6,0.5,38.8,0.7,6.5,1.6,3.0,2.3,3.5,33.0,2.4,3.7,0.4,0.5,0.7,0.3,0.5,35.7,15.3,1.1,0.0,0.0,1.2,2.7,0.6,5.8,22.4,25.9,2.0,3.8,52.6,37.4,257.3,172.1,1.4,33.6,82.6,0.2,0.0,0.0,1.2,0.4,0.2,3.0,0.0,0.0,0.0,1.0,0.0,1223,1223
1224,Borja Iglesias,2500000000,ESP,3,N/A,Betis,La Liga,29,33.0,18.0,1573.0,0.57,2.17,0.97,44.7,0.18,14.8,0.0,0.17,0.17,13.8,71.2,76.1,76.1,55.9,0.0,0.69,0.06,19.4,0.06,4.29,0.69,0.34,0.06,3.14,14.3,1.2,1.89,0.23,0.06,0.06,0.23,0.11,25.0,14.9,0.51,0.06,0.0,0.4,0.74,0.34,1.66,13.5,15.8,0.69,1.83,37.5,19.0,81.1,34.7,1.66,22.7,56.0,0.23,0.0,0.0,1.49,1.89,0.46,0.34,0.0,0.0,1.37,2.97,31.6,1225,1225
1227,Igor,1100000000,BRA,1,N/A,Fiorentina,Serie A,24,30.0,23.0,2242.0,0.0,0.28,0.04,14.3,0.0,11.1,0.0,0.0,0.0,62.2,92.5,92.2,95.9,87.8,0.0,0.08,0.0,67.2,1.93,7.87,2.45,0.08,0.0,55.3,7.71,0.92,0.68,0.04,1.29,1.04,0.04,1.12,63.6,11.4,2.13,0.8,0.04,2.33,4.7,6.87,40.6,39.8,1.57,0.32,0.44,72.7,52.3,285.7,166.0,0.28,54.0,99.2,0.12,0.0,0.0,1.24,0.24,0.0,0.08,0.04,0.0,2.45,2.25,52.1,1228,1228
1228,Kelechi Iheanacho,1700000000,NGA,3,N/A,Leicester City,Premier League,25,26.0,13.0,1264.0,0.29,2.21,0.79,35.5,0.13,17.1,0.0,0.0,0.0,19.4,77.0,83.6,83.2,48.4,0.36,1.0,0.14,25.1,0.07,7.14,0.57,0.71,0.07,22.4,1.29,1.0,2.57,0.57,0.14,0.64,0.29,0.29,33.3,17.4,1.14,0.07,0.0,0.29,1.36,0.71,3.43,18.4,19.1,1.07,2.29,46.9,28.2,126.7,65.1,2.14,28.4,55.1,0.07,0.0,0.0,1.86,0.86,0.5,0.71,0.0,0.0,1.07,3.29,24.6,1229,1229
1234,Asier Illarramendi,200000000,ESP,2,N/A,Real Sociedad,La Liga,32,8.0,6.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,89.0,95.1,91.7,74.3,0.0,0.48,0.0,67.1,2.62,10.5,1.43,0.48,0.24,6.43,55.2,0.48,1.67,0.0,1.19,0.95,0.24,0.0,0.0,18.6,1.9,0.24,0.0,2.38,4.76,5.0,22.4,48.8,9.29,0.48,0.95,50.0,50.0,168.3,70.7,0.95,53.3,95.3,0.24,0.0,0.0,1.43,0.95,0.0,0.48,0.0,0.0,2.86,2.62,52.2,1235,1235
1236,Ciro Immobile,1800000000,ITA,3,N/A,Lazio,Serie A,32,31.0,31.0,2711.0,0.9,3.62,1.66,45.9,0.18,15.0,0.0,0.23,0.3,23.1,78.3,84.4,77.8,74.3,0.07,0.56,0.07,29.4,0.0,6.78,0.27,0.83,0.03,3.02,24.7,1.36,2.33,0.47,0.17,0.07,0.17,0.07,12.5,15.1,0.47,0.1,0.0,0.4,0.8,0.76,3.72,17.9,22.2,0.5,1.43,34.9,28.0,128.4,64.8,1.66,33.8,64.3,0.13,0.0,0.0,1.2,1.36,0.43,0.83,0.03,0.0,0.6,1.96,23.4,1237,1237
1238,Danny Ings,1600000000,ENG,3,N/A,Aston Villa,Premier League,29,30.0,22.0,1898.0,0.33,2.27,0.81,35.4,0.13,13.3,0.0,0.05,0.05,12.2,67.9,77.7,63.7,50.0,0.28,0.66,0.14,18.0,0.05,4.41,0.43,0.81,0.0,3.32,12.6,1.0,1.47,0.38,0.28,0.66,0.28,0.52,39.3,18.2,1.42,0.19,0.0,0.71,1.94,1.0,3.22,12.3,15.0,0.52,1.66,31.4,17.1,77.3,37.7,0.81,18.9,52.0,0.19,0.0,0.0,0.95,0.66,0.52,0.81,0.0,0.0,1.09,2.46,30.7,1239,1239
1239,Marcus Ingvartsen,450000000,DEN,2,N/A,Union Berlin,Bundesliga,26,2.0,2.0,122.0,0.0,0.71,0.71,100.0,0.0,17.5,0.0,0.0,0.0,17.9,75.8,93.3,64.3,66.7,0.0,0.0,0.0,23.6,0.0,9.29,0.0,0.71,0.0,15.7,5.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,17.1,0.71,0.0,0.0,1.43,2.14,1.43,7.86,20.0,7.14,0.71,1.43,50.0,21.4,72.9,10.0,1.43,26.4,67.3,0.0,0.0,0.0,1.43,0.71,0.0,0.71,0.0,0.0,3.57,2.86,55.6,1240,1240
1240,Marcus Ingvartsen,450000000,DEN,3,MF,Mainz 05,Bundesliga,26,26.0,6.0,680.0,0.79,3.16,1.45,45.8,0.21,17.3,0.26,0.13,0.13,19.5,67.3,71.6,72.4,46.4,0.0,0.66,0.39,28.9,0.66,8.55,0.79,1.45,0.39,18.4,5.92,1.84,1.58,0.53,0.0,0.53,0.26,0.13,16.7,21.6,1.45,0.0,0.0,0.79,1.58,0.79,4.74,23.4,19.3,0.92,2.5,36.8,28.7,104.2,43.6,2.37,31.6,61.7,0.26,0.0,0.0,2.11,1.97,0.53,1.45,0.0,0.0,3.03,5.66,34.8,1241,1241
1241,Bonke Innocent,200000000,NGA,2,N/A,Lorient,Ligue 1,26,12.0,11.0,874.0,0.0,0.31,0.1,33.3,0.0,14.3,0.0,0.0,0.0,34.7,88.7,90.7,91.3,88.9,0.0,0.41,0.31,39.2,1.44,6.7,1.13,0.31,0.0,3.4,33.2,0.52,1.03,0.0,1.03,1.65,0.1,1.24,38.7,23.1,1.24,0.31,0.0,3.09,5.88,2.89,15.2,33.1,3.3,0.41,0.62,66.7,30.4,98.2,32.7,0.93,28.0,95.4,0.41,0.0,0.0,2.27,0.82,0.0,0.31,0.0,0.0,1.55,1.03,60.0,1242,1242
1245,Alexander Isak,5000000000,SWE,3,N/A,Real Sociedad,La Liga,22,32.0,26.0,2140.0,0.25,2.98,1.34,45.1,0.06,15.4,0.13,0.08,0.13,13.9,73.0,81.4,74.4,57.6,0.08,0.88,0.08,19.1,0.0,4.96,0.08,0.92,0.04,3.82,12.8,0.92,2.52,0.21,0.08,0.34,0.17,0.13,27.3,10.9,0.63,0.13,0.0,0.17,0.76,0.55,2.06,13.0,18.8,1.76,3.87,45.7,22.4,121.1,72.5,1.47,23.7,61.7,0.25,0.0,0.0,1.39,1.43,0.63,0.92,0.0,0.0,1.3,2.23,36.9,1246,1246
1247,Wilson Isidor,500000000,FRA,3,MF,Monaco,Ligue 1,21,4.0,0.0,50.0,0.0,1.67,0.0,0.0,0.0,11.2,0.0,0.0,0.0,13.3,44.4,50.0,28.6,50.0,0.0,0.0,0.0,30.0,0.0,13.3,0.0,0.0,0.0,3.33,10.0,3.33,1.67,0.0,0.0,0.0,0.0,0.0,0.0,26.7,1.67,0.0,0.0,0.0,0.0,0.0,1.67,20.0,16.7,0.0,0.0,0.0,10.0,33.3,20.0,0.0,31.7,47.5,0.0,0.0,0.0,1.67,1.67,3.33,0.0,0.0,0.0,6.67,5.0,57.1,1248,1248
